cod_produto,nome_produto,preco_rs,unid_estoque
BOT-1001,Malbec Desodorante Colônia 100ml,209.90,150
BOT-1002,Zaad Eau de Parfum 95ml,349.90,85
BOT-1003,Egeo Bomb Black Desodorante Colônia 90ml,164.90,200
BOT-1004,Quasar Classic Desodorante Colônia 100ml,189.90,0
BOT-1005,Coffee Man Duo Desodorante Colônia 100ml,229.90,95
BOT-1006,Arbo Desodorante Colônia 100ml,189.90,110
BOT-1007,The Blend Eau de Parfum 100ml,379.90,70
BOT-2001,Lily Eau de Parfum 75ml,329.90,90
BOT-2002,Floratta Red Desodorante Colônia 75ml,174.90,180
BOT-2003,Elysée Blanc Eau de Parfum 50ml,329.90,0
BOT-2004,Egeo Choc Desodorante Colônia 90ml,164.90,220
BOT-2005,Glamour Secrets Black Desodorante Colônia 75ml,199.90,140
BOT-2006,Liz Desodorante Colônia 100ml,179.90,130
BOT-2007,Her Code Eau de Parfum 50ml,254.90,105
BOT-3001,Creme Acetinado Hidratante Desodorante Corporal Lily 250g,149.90,115
BOT-3002,Loção Hidratante Desodorante Corporal Nativa SPA Ameixa 400ml,89.90,160
BOT-3003,Loção Hidratante Desodorante Corporal Nativa SPA Ameixa Negra 400ml,89.90,175
BOT-3004,Loção Hidratante Desodorante Corporal Cuide-se Bem Deleite 200ml,56.90,190
BOT-3005,Óleo Glorioso Hidratante Desodorante Corporal Nativa SPA Ameixa Negra 200ml,99.90,0
BOT-3006,Desodorante Colônia Body Splash Nativa SPA Ameixa Negra 200ml,109.90,125
