cod_sku,name_sku,brand,category,base_price
7K2N9A,Malbec Desodorante Colônia 100ml,Malbec,perfumaria_masculina,219.9
Q4H8L2,Malbec Eau de Parfum 90ml,Malbec,perfumaria_masculina,279.9
3R1B6M,Malbec Signature Eau de Parfum 90ml,Malbec,perfumaria_masculina,379.9
W9C5TD,Malbec Gold Desodorante Colônia 100ml,Malbec,perfumaria_masculina,259.9
5J8P2X,Malbec Club Intenso Desodorante Colônia 100ml,Malbec,perfumaria_masculina,249.9
2M7K4F,Zaad Eau de Parfum 95ml,Zaad,perfumaria_masculina,349.9
H3L9Q1,Quasar Deep Blue Desodorante Colônia 100ml,Quasar,perfumaria_masculina,189.9
8V4C6N,Arbo Desodorante Colônia 100ml,Arbo,perfumaria_masculina,189.9
P1T8R5,Egeo Bomb Black Desodorante Colônia 90ml,Egeo,perfumaria_masculina,164.9
6D2W9K,Clash Desodorante Colônia 100ml,Clash,perfumaria_masculina,179.9
8K2F6Q,Lily Eau de Parfum 75ml,Lily,perfumaria_feminina,294.9
D1W5N9,Lily Gardênia Eau de Parfum 75ml,Lily,perfumaria_feminina,294.9
6P8H3A,Floratta Red Desodorante Colônia 75ml,Floratta,perfumaria_feminina,146.85
Y4C2L7,Floratta Blue Desodorante Colônia 75ml,Floratta,perfumaria_feminina,174.9
1M9T5B,Her Code Eau de Parfum 50ml,Her Code,perfumaria_feminina,254.9
5X3R8K,Coffee Woman Seduction Desodorante Colônia 100ml,Coffee,perfumaria_feminina,229.9
G7Q2D4,Elysée Blanc Eau de Parfum 50ml,Elysée,perfumaria_feminina,329.9
N6A1V8,Glamour Secrets Black Desodorante Colônia 75ml,Glamour,perfumaria_feminina,150.9
2C8L4P,Egeo Dolce Desodorante Colônia 90ml,Egeo,perfumaria_feminina,164.9
9H5W1T,Botica 214 Peônia e Apricot Eau de Parfum 75ml,Botica 214,perfumaria_feminina,249.9
24A51X,Loção Hidratante Cuide-se Bem Nuvem 400ml,Cuide-se Bem,corpo_e_banho,57.9
K8M2Q1,Sabonete em Barra Cuide-se Bem Cereja 2x80g,Cuide-se Bem,corpo_e_banho,21.9
9P3W7C,Loção Hidratante Cuide-se Bem Deleite 400ml,Cuide-se Bem,corpo_e_banho,57.9
B7F4L9,Loção Cuide-se Bem Rosa e Algodão 400ml,Cuide-se Bem,corpo_e_banho,57.9
T2N8H4,Loção Hidratante Cuide-se Bem Beijinho 400ml,Cuide-se Bem,corpo_e_banho,57.9
Z5C1R8,Loção Firmadora Corporal Nativa SPA Quinoa 400ml,Nativa SPA,corpo_e_banho,89.9
4W6J2P,Sabonete Líquido Nativa SPA Orquídea Noire 250ml,Nativa SPA,corpo_e_banho,54.9
M9D3K7,Refil Sabonete Líquido Nativa SPA Orquídea Noire 200ml,Nativa SPA,corpo_e_banho,44.9
X1Q8V3,Sabonete em Barra Malbec 2x80g,Malbec,corpo_e_banho,31.9
7H5A2E,Loção Hidratante Lily 250ml,Lily,corpo_e_banho,99.9
F3P9W2,Shampoo Match Ciência das Curvas 300ml,Match,cabelos,45.9
L6K1C8,Shampoo Match Oleosidade Controlada 300ml,Match,cabelos,47.9
2Y8N4T,Shampoo Match Liso Prolongado 300ml,Match,cabelos,47.9
R5B7Q3,Shampoo Match Nutrição Regeneradora 300ml,Match,cabelos,47.9
9C4M1H,Condicionador Match Nutrição Regeneradora 280ml,Match,cabelos,49.9
H8Q3N1,Shampoo Esfoliante Anticaspa Malbec 150ml,Malbec,cabelos,59.9
V2L9D6,Shampoo Antiqueda Malbec 250ml,Malbec,cabelos,55.9
A8T3K5,Shampoo Cuide-se Bem Feira Cachos de Uva 270ml,Cuide-se Bem,cabelos,25.9
3G7P2W,Shampoo Cuide-se Bem Feira Vinagre de Framboesa 230ml,Cuide-se Bem,cabelos,27.9
E4N8J1,Shampoo Cuide-se Bem Feira Óleo de Coco 230ml,Cuide-se Bem,cabelos,25.9
