date,cod_sku,qt_sold
2026-08-01,7K2N9A,2
2026-08-01,Q4H8L2,2
2026-08-01,3R1B6M,2
2026-08-01,W9C5TD,2
2026-08-01,5J8P2X,2
2026-08-01,2M7K4F,2
2026-08-01,H3L9Q1,2
2026-08-01,8V4C6N,2
2026-08-01,P1T8R5,2
2026-08-01,6D2W9K,105
2026-08-01,8K2F6Q,2
2026-08-01,D1W5N9,2
2026-08-01,6P8H3A,2
2026-08-01,Y4C2L7,2
2026-08-01,1M9T5B,2
2026-08-01,5X3R8K,2
2026-08-01,G7Q2D4,34
2026-08-01,N6A1V8,2
2026-08-01,2C8L4P,2
2026-08-01,9H5W1T,2
2026-08-01,24A51X,2
2026-08-01,K8M2Q1,2
2026-08-01,9P3W7C,2
2026-08-01,B7F4L9,2
2026-08-01,T2N8H4,2
2026-08-01,Z5C1R8,2
2026-08-01,4W6J2P,2
2026-08-01,M9D3K7,17
2026-08-01,X1Q8V3,2
2026-08-01,7H5A2E,2
2026-08-01,F3P9W2,2
2026-08-01,L6K1C8,2
2026-08-01,2Y8N4T,2
2026-08-01,R5B7Q3,2
2026-08-01,9C4M1H,2
2026-08-01,H8Q3N1,38
2026-08-01,V2L9D6,2
2026-08-01,A8T3K5,2
2026-08-01,3G7P2W,2
2026-08-01,E4N8J1,2
2026-08-02,7K2N9A,2
2026-08-02,Q4H8L2,2
2026-08-02,3R1B6M,2
2026-08-02,W9C5TD,2
2026-08-02,5J8P2X,2
2026-08-02,2M7K4F,2
2026-08-02,H3L9Q1,2
2026-08-02,8V4C6N,2
2026-08-02,P1T8R5,2
2026-08-02,6D2W9K,105
2026-08-02,8K2F6Q,2
2026-08-02,D1W5N9,2
2026-08-02,6P8H3A,2
2026-08-02,Y4C2L7,2
2026-08-02,1M9T5B,2
2026-08-02,5X3R8K,2
2026-08-02,G7Q2D4,34
2026-08-02,N6A1V8,2
2026-08-02,2C8L4P,2
2026-08-02,9H5W1T,2
2026-08-02,24A51X,2
2026-08-02,K8M2Q1,2
2026-08-02,9P3W7C,2
2026-08-02,B7F4L9,2
2026-08-02,T2N8H4,2
2026-08-02,Z5C1R8,2
2026-08-02,4W6J2P,2
2026-08-02,M9D3K7,17
2026-08-02,X1Q8V3,2
2026-08-02,7H5A2E,2
2026-08-02,F3P9W2,2
2026-08-02,L6K1C8,2
2026-08-02,2Y8N4T,2
2026-08-02,R5B7Q3,2
2026-08-02,9C4M1H,2
2026-08-02,H8Q3N1,38
2026-08-02,V2L9D6,2
2026-08-02,A8T3K5,2
2026-08-02,3G7P2W,2
2026-08-02,E4N8J1,2
2026-08-03,7K2N9A,2
2026-08-03,Q4H8L2,2
2026-08-03,3R1B6M,2
2026-08-03,W9C5TD,2
2026-08-03,5J8P2X,2
2026-08-03,2M7K4F,2
2026-08-03,H3L9Q1,2
2026-08-03,8V4C6N,2
2026-08-03,P1T8R5,2
2026-08-03,6D2W9K,105
2026-08-03,8K2F6Q,2
2026-08-03,D1W5N9,2
2026-08-03,6P8H3A,2
2026-08-03,Y4C2L7,2
2026-08-03,1M9T5B,2
2026-08-03,5X3R8K,2
2026-08-03,G7Q2D4,34
2026-08-03,N6A1V8,2
2026-08-03,2C8L4P,2
2026-08-03,9H5W1T,2
2026-08-03,24A51X,2
2026-08-03,K8M2Q1,2
2026-08-03,9P3W7C,2
2026-08-03,B7F4L9,2
2026-08-03,T2N8H4,2
2026-08-03,Z5C1R8,2
2026-08-03,4W6J2P,2
2026-08-03,M9D3K7,17
2026-08-03,X1Q8V3,2
2026-08-03,7H5A2E,2
2026-08-03,F3P9W2,2
2026-08-03,L6K1C8,2
2026-08-03,2Y8N4T,2
2026-08-03,R5B7Q3,2
2026-08-03,9C4M1H,2
2026-08-03,H8Q3N1,38
2026-08-03,V2L9D6,2
2026-08-03,A8T3K5,2
2026-08-03,3G7P2W,2
2026-08-03,E4N8J1,2
2026-08-04,7K2N9A,2
2026-08-04,Q4H8L2,2
2026-08-04,3R1B6M,2
2026-08-04,W9C5TD,2
2026-08-04,5J8P2X,2
2026-08-04,2M7K4F,2
2026-08-04,H3L9Q1,2
2026-08-04,8V4C6N,2
2026-08-04,P1T8R5,2
2026-08-04,6D2W9K,105
2026-08-04,8K2F6Q,2
2026-08-04,D1W5N9,2
2026-08-04,6P8H3A,2
2026-08-04,Y4C2L7,2
2026-08-04,1M9T5B,2
2026-08-04,5X3R8K,2
2026-08-04,G7Q2D4,34
2026-08-04,N6A1V8,2
2026-08-04,2C8L4P,2
2026-08-04,9H5W1T,2
2026-08-04,24A51X,2
2026-08-04,K8M2Q1,2
2026-08-04,9P3W7C,2
2026-08-04,B7F4L9,2
2026-08-04,T2N8H4,2
2026-08-04,Z5C1R8,2
2026-08-04,4W6J2P,2
2026-08-04,M9D3K7,17
2026-08-04,X1Q8V3,2
2026-08-04,7H5A2E,2
2026-08-04,F3P9W2,2
2026-08-04,L6K1C8,2
2026-08-04,2Y8N4T,2
2026-08-04,R5B7Q3,2
2026-08-04,9C4M1H,2
2026-08-04,H8Q3N1,38
2026-08-04,V2L9D6,2
2026-08-04,A8T3K5,2
2026-08-04,3G7P2W,2
2026-08-04,E4N8J1,2
2026-08-05,7K2N9A,2
2026-08-05,Q4H8L2,2
2026-08-05,3R1B6M,2
2026-08-05,W9C5TD,2
2026-08-05,5J8P2X,2
2026-08-05,2M7K4F,2
2026-08-05,H3L9Q1,2
2026-08-05,8V4C6N,2
2026-08-05,P1T8R5,2
2026-08-05,6D2W9K,104
2026-08-05,8K2F6Q,2
2026-08-05,D1W5N9,2
2026-08-05,6P8H3A,2
2026-08-05,Y4C2L7,2
2026-08-05,1M9T5B,2
2026-08-05,5X3R8K,2
2026-08-05,G7Q2D4,34
2026-08-05,N6A1V8,2
2026-08-05,2C8L4P,2
2026-08-05,9H5W1T,2
2026-08-05,24A51X,2
2026-08-05,K8M2Q1,2
2026-08-05,9P3W7C,2
2026-08-05,B7F4L9,2
2026-08-05,T2N8H4,2
2026-08-05,Z5C1R8,2
2026-08-05,4W6J2P,2
2026-08-05,M9D3K7,17
2026-08-05,X1Q8V3,2
2026-08-05,7H5A2E,2
2026-08-05,F3P9W2,2
2026-08-05,L6K1C8,2
2026-08-05,2Y8N4T,2
2026-08-05,R5B7Q3,2
2026-08-05,9C4M1H,2
2026-08-05,H8Q3N1,38
2026-08-05,V2L9D6,2
2026-08-05,A8T3K5,2
2026-08-05,3G7P2W,2
2026-08-05,E4N8J1,2
2026-08-06,7K2N9A,2
2026-08-06,Q4H8L2,2
2026-08-06,3R1B6M,2
2026-08-06,W9C5TD,2
2026-08-06,5J8P2X,2
2026-08-06,2M7K4F,2
2026-08-06,H3L9Q1,2
2026-08-06,8V4C6N,2
2026-08-06,P1T8R5,2
2026-08-06,6D2W9K,104
2026-08-06,8K2F6Q,2
2026-08-06,D1W5N9,2
2026-08-06,6P8H3A,2
2026-08-06,Y4C2L7,2
2026-08-06,1M9T5B,2
2026-08-06,5X3R8K,2
2026-08-06,G7Q2D4,34
2026-08-06,N6A1V8,2
2026-08-06,2C8L4P,2
2026-08-06,9H5W1T,2
2026-08-06,24A51X,2
2026-08-06,K8M2Q1,2
2026-08-06,9P3W7C,2
2026-08-06,B7F4L9,2
2026-08-06,T2N8H4,2
2026-08-06,Z5C1R8,2
2026-08-06,4W6J2P,2
2026-08-06,M9D3K7,17
2026-08-06,X1Q8V3,2
2026-08-06,7H5A2E,2
2026-08-06,F3P9W2,2
2026-08-06,L6K1C8,2
2026-08-06,2Y8N4T,2
2026-08-06,R5B7Q3,2
2026-08-06,9C4M1H,2
2026-08-06,H8Q3N1,38
2026-08-06,V2L9D6,2
2026-08-06,A8T3K5,2
2026-08-06,3G7P2W,2
2026-08-06,E4N8J1,2
2026-08-07,7K2N9A,2
2026-08-07,Q4H8L2,2
2026-08-07,3R1B6M,2
2026-08-07,W9C5TD,2
2026-08-07,5J8P2X,2
