date,cod_sku,units_available,is_launch,is_promo
2026-09-01,7K2N9A,48,0,0
2026-09-01,Q4H8L2,48,0,0
2026-09-01,3R1B6M,48,0,0
2026-09-01,W9C5TD,48,0,0
2026-09-01,5J8P2X,48,0,0
2026-09-01,2M7K4F,48,0,0
2026-09-01,H3L9Q1,48,0,0
2026-09-01,8V4C6N,48,0,0
2026-09-01,P1T8R5,48,0,0
2026-09-01,6D2W9K,48,0,0
2026-09-01,8K2F6Q,48,0,0
2026-09-01,D1W5N9,48,0,0
2026-09-01,6P8H3A,48,0,0
2026-09-01,Y4C2L7,48,0,0
2026-09-01,1M9T5B,48,0,0
2026-09-01,5X3R8K,48,0,0
2026-09-01,G7Q2D4,48,1,0
2026-09-01,N6A1V8,48,0,0
2026-09-01,2C8L4P,48,0,0
2026-09-01,9H5W1T,48,0,0
2026-09-01,24A51X,48,0,0
2026-09-01,K8M2Q1,48,0,0
2026-09-01,9P3W7C,48,0,0
2026-09-01,B7F4L9,48,0,0
2026-09-01,T2N8H4,48,0,0
2026-09-01,Z5C1R8,48,0,0
2026-09-01,4W6J2P,48,0,0
2026-09-01,M9D3K7,48,0,0
2026-09-01,X1Q8V3,48,0,0
2026-09-01,7H5A2E,48,0,0
2026-09-01,F3P9W2,48,0,0
2026-09-01,L6K1C8,48,0,0
2026-09-01,2Y8N4T,48,0,0
2026-09-01,R5B7Q3,48,0,0
2026-09-01,9C4M1H,48,0,0
2026-09-01,H8Q3N1,48,0,0
2026-09-01,V2L9D6,48,0,0
2026-09-01,A8T3K5,48,0,0
2026-09-01,3G7P2W,48,0,1
2026-09-01,E4N8J1,0,0,0
